ID,TIME,PRED_S
3,1.0,0.9572064
3,2.0,0.9468034
3,3.0,0.93631
3,4.0,0.9263571
3,5.0,0.917175
3,6.0,0.9087527
3,7.0,0.9009953
3,8.0,0.89379984
3,9.0,0.8870724
3,10.0,0.8807269
3,11.0,0.87468225
3,12.0,0.8688642
3,13.0,0.863209
3,14.0,0.85766864
3,15.0,0.8522144
3,16.0,0.846839
3,17.0,0.84155667
3,18.0,0.8363996
3,19.0,0.83141315
3,20.0,0.8266476
3,21.0,0.8221506
3,22.0,0.8179592
3,23.0,0.81409436
3,24.0,0.8105592
3,25.0,0.8073389
3,26.0,0.804404
3,27.0,0.801715
3,28.0,0.7992273
3,29.0,0.79689574
3,30.0,0.79467845
3,31.0,0.7925395
3,32.0,0.7904503
3,33.0,0.7883906
3,34.0,0.7863477
3,35.0,0.78431636
3,36.0,0.78229696
3,37.0,0.78029454
3,38.0,0.7783171
3,39.0,0.77637416
3,40.0,0.7744758
3,41.0,0.77263147
3,42.0,0.7708492
3,43.0,0.7691357
3,44.0,0.7674954
3,45.0,0.7659307
3,46.0,0.7644424
3,47.0,0.76302946
3,48.0,0.7616892
3,49.0,0.76041794
3,50.0,0.7592107
3,51.0,0.7580621
3,52.0,0.75696623
3,53.0,0.7559165
3,54.0,0.7549063
3,55.0,0.753929
3,56.0,0.75297797
3,57.0,0.75204635
3,58.0,0.75112784
3,59.0,0.7502159
3,60.0,0.7493044
3,61.0,0.74838716
3,62.0,0.74745834
3,63.0,0.7465121
3,64.0,0.7455428
3,65.0,0.74454504
3,66.0,0.7435131
3,67.0,0.74244183
3,68.0,0.7413259
3,69.0,0.74016
3,70.0,0.738939
3,71.0,0.73765755
3,72.0,0.73631066
3,73.0,0.73489326
3,74.0,0.73340005
3,75.0,0.7318261
3,76.0,0.7301663
3,77.0,0.7284159
3,78.0,0.72656995
3,79.0,0.7246237
3,80.0,0.72257257
3,81.0,0.7204122
3,82.0,0.71813834
3,83.0,0.715747
3,84.0,0.71323454
3,85.0,0.7105973
3,86.0,0.70783216
3,87.0,0.7049361
3,88.0,0.70190644
3,89.0,0.6987408
3,90.0,0.69543684
3,91.0,0.6919925
3,92.0,0.6884059
3,93.0,0.684675
3,94.0,0.6807981
3,95.0,0.67677355
3,96.0,0.67259943
3,97.0,0.66827416
3,98.0,0.6637961
3,99.0,0.6591639
3,100.0,0.6543765
3,101.0,0.64943326
3,102.0,0.64433444
3,103.0,0.6390809
3,104.0,0.633675
3,105.0,0.6281205
3,106.0,0.62242305
3,107.0,0.6165905
3,108.0,0.610633
3,109.0,0.6045638
3,110.0,0.59839875
3,111.0,0.59215677
3,112.0,0.5858599
3,113.0,0.5795326
3,114.0,0.57320195
3,115.0,0.56689674
3,116.0,0.56064665
3,117.0,0.55448216
3,118.0,0.5484327
3,119.0,0.54252666
3,120.0,0.53679013
3,121.0,0.53124666
3,122.0,0.525916
3,123.0,0.52081484
3,124.0,0.5159555
3,125.0,0.5113468
3,126.0,0.50699365
3,127.0,0.5028977
3,128.0,0.49905735
3,129.0,0.49546835
3,130.0,0.49212423
3,131.0,0.4890168
4,1.0,0.9720557
4,2.0,0.9657679
4,3.0,0.956559
4,4.0,0.94409394
4,5.0,0.92916256
4,6.0,0.91349113
4,7.0,0.8984534
4,8.0,0.8841313
4,9.0,0.8695755
4,10.0,0.8535949
4,11.0,0.83540416
4,12.0,0.8149727
4,13.0,0.79304135
4,14.0,0.7708163
4,15.0,0.7495181
4,16.0,0.73004216
4,17.0,0.7128506
4,18.0,0.69803965
4,19.0,0.6854708
4,20.0,0.6748892
4,21.0,0.66600406
4,22.0,0.65853447
4,23.0,0.6522295
4,24.0,0.64687604
4,25.0,0.64229697
4,26.0,0.6383486
4,27.0,0.63491476
4,28.0,0.63190275
4,29.0,0.6292387
4,30.0,0.62686414
4,31.0,0.62473243
4,32.0,0.62280715
4,33.0,0.6210591
4,34.0,0.61946535
4,35.0,0.61800754
4,36.0,0.61667085
4,37.0,0.61544347
4,38.0,0.61431545
4,39.0,0.6132785
4,40.0,0.61232555
4,41.0,0.6114504
4,42.0,0.61064744
4,43.0,0.6099118
4,44.0,0.60923874
4,45.0,0.6086241
4,46.0,0.6080637
4,47.0,0.60755396
4,48.0,0.6070912
4,49.0,0.6066721
4,50.0,0.60629344
4,51.0,0.6059522
4,52.0,0.6056455
4,53.0,0.6053706
4,54.0,0.60512483
4,55.0,0.6049057
4,56.0,0.60471064
4,57.0,0.6045374
4,58.0,0.6043836
4,59.0,0.6042468
4,60.0,0.6041247
4,61.0,0.60401505
4,62.0,0.6039153
4,63.0,0.6038231
4,64.0,0.603736
4,65.0,0.6036512
4,66.0,0.60356617
4,67.0,0.60347784
4,68.0,0.6033832
4,69.0,0.60327893
4,70.0,0.60316175
4,71.0,0.6030278
4,72.0,0.60287327
4,73.0,0.602694
4,74.0,0.60248524
4,75.0,0.6022424
4,76.0,0.6019603
4,77.0,0.60163337
4,78.0,0.6012559
4,79.0,0.6008216
4,80.0,0.6003241
4,81.0,0.5997561
4,82.0,0.5991106
4,83.0,0.5983799
4,84.0,0.597556
4,85.0,0.5966305
4,86.0,0.595595
4,87.0,0.59444064
4,88.0,0.59315866
4,89.0,0.59174
4,90.0,0.59017575
4,91.0,0.58845705
4,92.0,0.5865752
4,93.0,0.58452195
4,94.0,0.58228946
4,95.0,0.57987034
4,96.0,0.57725805
4,97.0,0.57444686
4,98.0,0.5714319
4,99.0,0.56820935
4,100.0,0.56477654
4,101.0,0.5611322
4,102.0,0.557276
4,103.0,0.5532091
4,104.0,0.54893416
4,105.0,0.5444548
4,106.0,0.53977627
4,107.0,0.53490466
4,108.0,0.52984756
4,109.0,0.5246133
4,110.0,0.5192113
4,111.0,0.51365185
4,112.0,0.50794554
4,113.0,0.5021037
4,114.0,0.496138
4,115.0,0.4900603
4,116.0,0.48388237
4,117.0,0.4776162
4,118.0,0.47127318
4,119.0,0.46486476
4,120.0,0.4584018
4,121.0,0.4518948
4,122.0,0.44535348
4,123.0,0.43878734
4,124.0,0.43220472
4,125.0,0.42561406
4,126.0,0.4190222
4,127.0,0.412436
4,128.0,0.40586153
4,129.0,0.39930385
4,130.0,0.39276764
4,131.0,0.38625696
9,1.0,0.99521315
9,2.0,0.9951356
9,3.0,0.99502265
9,4.0,0.9948539
9,5.0,0.9945945
9,6.0,0.99418664
9,7.0,0.99353456
9,8.0,0.99248886
9,9.0,0.99084294
9,10.0,0.98837644
9,11.0,0.98497295
9,12.0,0.98074794
9,13.0,0.976038
9,14.0,0.9712408
9,15.0,0.9666685
9,16.0,0.96250695
9,17.0,0.958838
9,18.0,0.9556723
9,19.0,0.9529768
9,20.0,0.95069504
9,21.0,0.94876176
9,22.0,0.9471131
9,23.0,0.9456906
9,24.0,0.9444439
9,25.0,0.9433307
9,26.0,0.9423167
9,27.0,0.9413744
9,28.0,0.9404824
9,29.0,0.93962413
9,30.0,0.93878824
9,31.0,0.93796664
9,32.0,0.9371552
9,33.0,0.93635243
9,34.0,0.9355594
9,35.0,0.9347788
9,36.0,0.9340147
9,37.0,0.93327105
9,38.0,0.9325523
9,39.0,0.9318615
9,40.0,0.9312007
9,41.0,0.93057066
9,42.0,0.92997044
9,43.0,0.9293981
9,44.0,0.92885053
9,45.0,0.92832446
9,46.0,0.9278161
9,47.0,0.9273219
9,48.0,0.9268389
9,49.0,0.92636406
9,50.0,0.9258949
9,51.0,0.92542964
9,52.0,0.9249661
9,53.0,0.92450225
9,54.0,0.92403626
9,55.0,0.92356545
9,56.0,0.92308736
9,57.0,0.9225989
9,58.0,0.9220967
9,59.0,0.92157716
9,60.0,0.9210361
9,61.0,0.92046976
9,62.0,0.9198739
9,63.0,0.9192447
9,64.0,0.9185783
9,65.0,0.91787165
9,66.0,0.91712195
9,67.0,0.916327
9,68.0,0.91548544
9,69.0,0.9145969
9,70.0,0.91366136
9,71.0,0.9126799
9,72.0,0.911654
9,73.0,0.9105858
9,74.0,0.90947783
9,75.0,0.908333
9,76.0,0.9071538
9,77.0,0.90594316
9,78.0,0.9047032
9,79.0,0.90343624
9,80.0,0.9021438
9,81.0,0.9008268
9,82.0,0.8994859
9,83.0,0.89812106
9,84.0,0.89673203
9,85.0,0.8953177
9,86.0,0.8938768
9,87.0,0.8924076
9,88.0,0.890908
9,89.0,0.8893759
9,90.0,0.88780874
9,91.0,0.88620377
9,92.0,0.88455814
9,93.0,0.8828688
9,94.0,0.8811328
9,95.0,0.8793468
9,96.0,0.8775079
9,97.0,0.8756129
9,98.0,0.8736586
9,99.0,0.87164223
9,100.0,0.8695611
9,101.0,0.8674129
9,102.0,0.86519545
