ID,TIME,PRED_S
3,1.0,0.72095525
3,2.0,0.35016018
3,3.0,0.116515435
3,4.0,0.0402003
3,5.0,0.017279021
3,6.0,0.009024986
3,7.0,0.005298154
3,8.0,0.0032891051
3,9.0,0.0020926432
3,10.0,0.0013521905
3,11.0,0.00088972726
3,12.0,0.0005998379
3,13.0,0.00041646886
3,14.0,0.0002985055
3,15.0,0.00022084417
3,16.0,0.00016832679
3,17.0,0.00013179405
3,18.0,0.00010565591
3,19.0,8.644539e-05
3,20.0,7.196752e-05
3,21.0,6.0803188e-05
3,22.0,5.201319e-05
3,23.0,4.4962322e-05
3,24.0,3.9212726e-05
3,25.0,3.4455043e-05
3,26.0,3.046778e-05
3,27.0,2.7088801e-05
3,28.0,2.4197381e-05
3,29.0,2.1702572e-05
3,30.0,1.9534358e-05
3,31.0,1.7638467e-05
3,32.0,1.5971995e-05
3,33.0,1.4500754e-05
3,34.0,1.3197011e-05
3,35.0,1.2038155e-05
3,36.0,1.1005571e-05
3,37.0,1.00836005e-05
3,38.0,9.25919e-06
3,39.0,8.521264e-06
3,40.0,7.860342e-06
3,41.0,7.268315e-06
3,42.0,6.7382452e-06
3,43.0,6.2640906e-06
3,44.0,5.8407036e-06
3,45.0,5.463547e-06
3,46.0,5.128791e-06
3,47.0,4.8331217e-06
3,48.0,4.5737665e-06
3,49.0,4.3483997e-06
3,50.0,4.155125e-06
3,51.0,3.9925135e-06
3,52.0,3.859509e-06
3,53.0,3.7554953e-06
3,54.0,3.6802908e-06
3,55.0,3.634221e-06
3,56.0,3.6180752e-06
3,57.0,3.6332333e-06
3,58.0,3.6817373e-06
3,59.0,3.7663738e-06
3,60.0,3.8908775e-06
3,61.0,4.060192e-06
3,62.0,4.2807637e-06
3,63.0,4.5612655e-06
3,64.0,4.9134196e-06
3,65.0,5.353603e-06
3,66.0,5.9050953e-06
3,67.0,6.601831e-06
3,68.0,7.49373e-06
3,69.0,8.65523e-06
3,70.0,1.019754e-05
3,71.0,1.2287096e-05
3,72.0,1.5172568e-05
3,73.0,1.9221978e-05
3,74.0,2.4970494e-05
3,75.0,3.3171524e-05
3,76.0,4.48352e-05
3,77.0,6.121912e-05
3,78.0,8.3730214e-05
3,79.0,0.00011371882
3,80.0,0.00015219359
3,81.0,0.00019957608
3,82.0,0.00025561426
3,83.0,0.0003195583
3,84.0,0.00039055082
3,85.0,0.00046810915
3,86.0,0.0005525574
3,87.0,0.00064536225
3,88.0,0.0007493825
3,89.0,0.0008691421
3,90.0,0.0010112171
3,91.0,0.0011848994
3,92.0,0.0014032244
3,93.0,0.0016846459
3,94.0,0.0020555456
3,95.0,0.0025540956
3,96.0,0.0032360172
3,97.0,0.00418308
3,98.0,0.0055153905
3,99.0,0.0074086785
3,100.0,0.010117581
3,101.0,0.014005062
3,102.0,0.019575786
3,103.0,0.02750822
3,104.0,0.038674686
3,105.0,0.054133654
3,106.0,0.075074606
3,107.0,0.10270204
3,108.0,0.13805927
3,109.0,0.1818103
3,110.0,0.23403165
3,111.0,0.29406622
3,112.0,0.36049122
3,113.0,0.43121043
3,114.0,0.50367266
3,115.0,0.575163
3,116.0,0.643126
3,117.0,0.705454
3,118.0,0.7606933
3,119.0,0.8081186
3,120.0,0.8476878
3,121.0,0.87989295
3,122.0,0.9055721
3,123.0,0.92572093
3,124.0,0.94134843
3,125.0,0.9533799
3,126.0,0.9626103
3,127.0,0.96969044
3,128.0,0.97513586
3,129.0,0.9793449
3,130.0,0.9826203
3,131.0,0.9851902
4,1.0,1.0
4,2.0,1.0
4,3.0,1.0
4,4.0,1.0
4,5.0,1.0
4,6.0,1.0
4,7.0,1.0
4,8.0,1.0
4,9.0,1.0
4,10.0,1.0
4,11.0,1.0
4,12.0,1.0
4,13.0,1.0
4,14.0,1.0
4,15.0,0.9999999
4,16.0,0.9999999
4,17.0,0.99999976
4,18.0,0.99999964
4,19.0,0.9999994
4,20.0,0.99999905
4,21.0,0.99999845
4,22.0,0.9999974
